station,hour,departures,arrivals,net_flow
699 Mt Auburn St,13,54.0,56.0,2.0
699 Mt Auburn St,14,87.0,70.0,-17.0
699 Mt Auburn St,15,95.0,71.0,-24.0
699 Mt Auburn St,16,65.0,67.0,2.0
699 Mt Auburn St,17,71.0,71.0,0.0
699 Mt Auburn St,18,87.0,57.0,-30.0
699 Mt Auburn St,19,74.0,48.0,-26.0
699 Mt Auburn St,20,42.0,62.0,20.0
699 Mt Auburn St,21,29.0,28.0,-1.0
699 Mt Auburn St,22,21.0,21.0,0.0
699 Mt Auburn St,23,11.0,14.0,3.0
7 Acre Park,18,1.0,0.0,-1.0
700 Commonwealth Ave.,0,1.0,1.0,0.0
700 Commonwealth Ave.,6,1.0,0.0,-1.0
700 Commonwealth Ave.,8,1.0,4.0,3.0
700 Commonwealth Ave.,9,1.0,1.0,0.0
700 Commonwealth Ave.,11,2.0,2.0,0.0
700 Commonwealth Ave.,12,4.0,3.0,-1.0
700 Commonwealth Ave.,14,6.0,6.0,0.0
700 Commonwealth Ave.,15,8.0,4.0,-4.0
700 Commonwealth Ave.,16,6.0,6.0,0.0
700 Commonwealth Ave.,17,2.0,9.0,7.0
700 Commonwealth Ave.,18,3.0,6.0,3.0
700 Commonwealth Ave.,20,3.0,5.0,2.0
700 Commonwealth Ave.,21,3.0,1.0,-2.0
700 Commonwealth Ave.,22,6.0,3.0,-3.0
700 Commonwealth Ave.,23,4.0,2.0,-2.0
700 Huron Ave,0,4.0,2.0,-2.0
700 Huron Ave,2,1.0,0.0,-1.0
700 Huron Ave,6,1.0,0.0,-1.0
700 Huron Ave,7,3.0,0.0,-3.0
700 Huron Ave,8,5.0,3.0,-2.0
700 Huron Ave,9,13.0,0.0,-13.0
700 Huron Ave,10,27.0,5.0,-22.0
700 Huron Ave,11,21.0,4.0,-17.0
700 Huron Ave,12,30.0,10.0,-20.0
700 Huron Ave,13,32.0,13.0,-19.0
700 Huron Ave,14,41.0,12.0,-29.0
700 Huron Ave,15,32.0,13.0,-19.0
700 Huron Ave,16,25.0,27.0,2.0
700 Huron Ave,17,42.0,26.0,-16.0
700 Huron Ave,18,28.0,17.0,-11.0
700 Huron Ave,19,23.0,19.0,-4.0
700 Huron Ave,20,9.0,32.0,23.0
700 Huron Ave,21,10.0,29.0,19.0
700 Huron Ave,22,3.0,7.0,4.0
700 Huron Ave,23,5.0,7.0,2.0
75 Binney St,0,1.0,0.0,-1.0
75 Binney St,9,1.0,7.0,6.0
75 Binney St,13,1.0,1.0,0.0
75 Binney St,15,1.0,0.0,-1.0
75 Binney St,16,13.0,0.0,-13.0
75 Binney St,17,10.0,1.0,-9.0
75 Binney St,18,1.0,0.0,-1.0
75 Binney St,19,2.0,2.0,0.0
84 Cambridgepark Dr,0,1.0,2.0,1.0
84 Cambridgepark Dr,8,1.0,0.0,-1.0
84 Cambridgepark Dr,9,1.0,1.0,0.0
84 Cambridgepark Dr,10,12.0,1.0,-11.0
84 Cambridgepark Dr,11,23.0,5.0,-18.0
84 Cambridgepark Dr,12,8.0,5.0,-3.0
84 Cambridgepark Dr,13,10.0,8.0,-2.0
84 Cambridgepark Dr,14,9.0,7.0,-2.0
84 Cambridgepark Dr,15,7.0,6.0,-1.0
84 Cambridgepark Dr,16,9.0,15.0,6.0
84 Cambridgepark Dr,17,8.0,34.0,26.0
84 Cambridgepark Dr,18,8.0,10.0,2.0
84 Cambridgepark Dr,19,2.0,14.0,12.0
84 Cambridgepark Dr,22,5.0,4.0,-1.0
855 Broadway,9,1.0,0.0,-1.0
855 Broadway,10,1.0,0.0,-1.0
87-101 Cambridgepark Drive,6,1.0,0.0,-1.0
87-101 Cambridgepark Drive,7,2.0,3.0,1.0
87-101 Cambridgepark Drive,9,4.0,1.0,-3.0
87-101 Cambridgepark Drive,10,6.0,5.0,-1.0
87-101 Cambridgepark Drive,11,9.0,1.0,-8.0
87-101 Cambridgepark Drive,12,9.0,4.0,-5.0
87-101 Cambridgepark Drive,13,8.0,8.0,0.0
87-101 Cambridgepark Drive,14,4.0,13.0,9.0
87-101 Cambridgepark Drive,15,2.0,7.0,5.0
87-101 Cambridgepark Drive,16,9.0,7.0,-2.0
87-101 Cambridgepark Drive,17,11.0,8.0,-3.0
87-101 Cambridgepark Drive,18,8.0,2.0,-6.0
87-101 Cambridgepark Drive,19,5.0,4.0,-1.0
87-101 Cambridgepark Drive,20,1.0,1.0,0.0
87-101 Cambridgepark Drive,21,1.0,2.0,1.0
87-101 Cambridgepark Drive,22,1.0,1.0,0.0
955 Mass Ave,0,4.0,1.0,-3.0
955 Mass Ave,2,1.0,0.0,-1.0
955 Mass Ave,4,1.0,1.0,0.0
955 Mass Ave,7,2.0,2.0,0.0
955 Mass Ave,8,7.0,3.0,-4.0
955 Mass Ave,9,3.0,0.0,-3.0
955 Mass Ave,10,2.0,2.0,0.0
955 Mass Ave,11,5.0,27.0,22.0
955 Mass Ave,12,9.0,28.0,19.0
955 Mass Ave,13,3.0,10.0,7.0
955 Mass Ave,14,7.0,10.0,3.0
955 Mass Ave,15,12.0,5.0,-7.0
955 Mass Ave,16,3.0,10.0,7.0
955 Mass Ave,17,17.0,13.0,-4.0
955 Mass Ave,18,2.0,9.0,7.0
955 Mass Ave,19,5.0,10.0,5.0
955 Mass Ave,20,5.0,6.0,1.0
955 Mass Ave,21,12.0,0.0,-12.0
955 Mass Ave,22,3.0,4.0,1.0
955 Mass Ave,23,3.0,2.0,-1.0
99 Coolidge Ave,5,1.0,1.0,0.0
99 Coolidge Ave,6,2.0,3.0,1.0
99 Coolidge Ave,7,10.0,14.0,4.0
99 Coolidge Ave,9,10.0,11.0,1.0
99 Coolidge Ave,10,12.0,13.0,1.0
99 Coolidge Ave,11,9.0,8.0,-1.0
99 Coolidge Ave,12,8.0,3.0,-5.0
99 Coolidge Ave,13,8.0,10.0,2.0
99 Coolidge Ave,14,8.0,1.0,-7.0
99 Coolidge Ave,15,8.0,7.0,-1.0
99 Coolidge Ave,16,1.0,1.0,0.0
99 Coolidge Ave,17,7.0,4.0,-3.0
99 Coolidge Ave,18,3.0,7.0,4.0
99 Coolidge Ave,19,4.0,2.0,-2.0
99 Coolidge Ave,20,2.0,7.0,5.0
99 Coolidge Ave,21,1.0,10.0,9.0
99 Coolidge Ave,23,1.0,0.0,-1.0
Albany St at E. Brookline St,6,3.0,0.0,-3.0
Albany St at E. Brookline St,10,1.0,0.0,-1.0
Albany St at E. Brookline St,12,1.0,1.0,0.0
Albany St at E. Brookline St,14,1.0,1.0,0.0
Albany St at E. Brookline St,15,1.0,0.0,-1.0
Albany St at E. Brookline St,16,4.0,0.0,-4.0
Albany St at E. Brookline St,17,1.0,0.0,-1.0
Albany St at E. Brookline St,19,2.0,0.0,-2.0
Alewife MBTA at Steel Place,0,1.0,0.0,-1.0
Alewife MBTA at Steel Place,7,22.0,3.0,-19.0
Alewife MBTA at Steel Place,8,22.0,42.0,20.0
Alewife MBTA at Steel Place,9,10.0,2.0,-8.0
Alewife MBTA at Steel Place,10,12.0,8.0,-4.0
Alewife MBTA at Steel Place,11,11.0,8.0,-3.0
Alewife MBTA at Steel Place,12,5.0,16.0,11.0
Alewife MBTA at Steel Place,13,7.0,13.0,6.0
Alewife MBTA at Steel Place,14,12.0,9.0,-3.0
Alewife MBTA at Steel Place,15,21.0,8.0,-13.0
Alewife MBTA at Steel Place,16,41.0,14.0,-27.0
Alewife MBTA at Steel Place,17,35.0,30.0,-5.0
Alewife MBTA at Steel Place,18,8.0,7.0,-1.0
Alewife MBTA at Steel Place,19,3.0,5.0,2.0
Alewife MBTA at Steel Place,20,23.0,1.0,-22.0
Alewife MBTA at Steel Place,21,21.0,3.0,-18.0
Alewife MBTA at Steel Place,22,5.0,0.0,-5.0
Alewife Station at Russell Field,3,1.0,0.0,-1.0
Alewife Station at Russell Field,5,8.0,1.0,-7.0
Alewife Station at Russell Field,7,5.0,0.0,-5.0
Alewife Station at Russell Field,8,11.0,3.0,-8.0
Alewife Station at Russell Field,9,10.0,3.0,-7.0
Alewife Station at Russell Field,10,12.0,1.0,-11.0
Alewife Station at Russell Field,11,8.0,0.0,-8.0
Alewife Station at Russell Field,12,10.0,2.0,-8.0
Alewife Station at Russell Field,13,7.0,9.0,2.0
Alewife Station at Russell Field,14,5.0,12.0,7.0
Alewife Station at Russell Field,15,9.0,12.0,3.0
Alewife Station at Russell Field,16,8.0,29.0,21.0
Alewife Station at Russell Field,17,7.0,51.0,44.0
Alewife Station at Russell Field,18,15.0,33.0,18.0
Alewife Station at Russell Field,19,6.0,9.0,3.0
Alewife Station at Russell Field,20,1.0,7.0,6.0
Alewife Station at Russell Field,21,1.0,4.0,3.0
Alewife Station at Russell Field,22,2.0,3.0,1.0
Alewife Station at Russell Field,23,3.0,3.0,0.0
Ames St at Broadway,12,1.0,2.0,1.0
Ames St at Broadway,13,1.0,0.0,-1.0
Ames St at Broadway,14,2.0,2.0,0.0
Ames St at Broadway,16,1.0,1.0,0.0
Ames St at Broadway,17,2.0,1.0,-1.0
Ames St at Broadway,18,2.0,1.0,-1.0
Ames St at Broadway,19,3.0,0.0,-3.0
Ames St at Broadway,20,1.0,1.0,0.0
Ames St at Broadway,22,1.0,1.0,0.0
Ames St at Main St,1,1.0,0.0,-1.0
Ames St at Main St,10,2.0,2.0,0.0
Ames St at Main St,11,1.0,3.0,2.0
Ames St at Main St,12,3.0,2.0,-1.0
Ames St at Main St,13,1.0,2.0,1.0
Ames St at Main St,14,4.0,3.0,-1.0
Ames St at Main St,15,7.0,1.0,-6.0
Ames St at Main St,16,17.0,1.0,-16.0
Ames St at Main St,17,20.0,0.0,-20.0
Ames St at Main St,18,9.0,0.0,-9.0
Ames St at Main St,19,2.0,5.0,3.0
Ames St at Main St,20,1.0,2.0,1.0
Ames St at Main St,21,4.0,1.0,-3.0
Ames St at Main St,22,6.0,0.0,-6.0
Ames St at Main St,23,2.0,1.0,-1.0
Andrew T Stop - Dorchester Ave at Dexter St,12,1.0,0.0,-1.0
Andrew T Stop - Dorchester Ave at Dexter St,15,1.0,0.0,-1.0
Aquarium T Stop - 200 Atlantic Ave,0,2.0,0.0,-2.0
Aquarium T Stop - 200 Atlantic Ave,8,1.0,0.0,-1.0
Aquarium T Stop - 200 Atlantic Ave,9,1.0,0.0,-1.0
Aquarium T Stop - 200 Atlantic Ave,15,1.0,1.0,0.0
Aquarium T Stop - 200 Atlantic Ave,17,2.0,3.0,1.0
Aquarium T Stop - 200 Atlantic Ave,18,1.0,0.0,-1.0
Aquarium T Stop - 200 Atlantic Ave,21,5.0,0.0,-5.0
Aquarium T Stop - 200 Atlantic Ave,22,3.0,0.0,-3.0
Arch St at Franklin St,9,1.0,1.0,0.0
Arch St at Franklin St,11,1.0,1.0,0.0
Arch St at Franklin St,14,2.0,0.0,-2.0
Arch St at Franklin St,17,1.0,0.0,-1.0
Arch St at Franklin St,19,1.0,0.0,-1.0
Arch St at Franklin St,20,1.0,0.0,-1.0
Arch St at Franklin St,21,2.0,0.0,-2.0
Arsenal Yards,0,557.0,411.0,-146.0
Arsenal Yards,1,299.0,264.0,-35.0
Arsenal Yards,2,198.0,173.0,-25.0
Arsenal Yards,3,138.0,193.0,55.0
Arsenal Yards,4,96.0,345.0,249.0
Arsenal Yards,5,54.0,103.0,49.0
Arsenal Yards,6,164.0,242.0,78.0
Arsenal Yards,7,641.0,626.0,-15.0
Arsenal Yards,8,1013.0,1155.0,142.0
Arsenal Yards,9,639.0,1007.0,368.0
Arsenal Yards,10,904.0,1088.0,184.0
Arsenal Yards,11,1123.0,1419.0,296.0
Arsenal Yards,12,1503.0,1828.0,325.0
Arsenal Yards,13,1579.0,1685.0,106.0
Arsenal Yards,14,1678.0,1823.0,145.0
Arsenal Yards,15,1761.0,2136.0,375.0
Arsenal Yards,16,2229.0,2609.0,380.0
Arsenal Yards,17,2507.0,2818.0,311.0
Arsenal Yards,18,2468.0,2555.0,87.0
Arsenal Yards,19,1987.0,1777.0,-210.0
Arsenal Yards,20,1886.0,1327.0,-559.0
Arsenal Yards,21,1734.0,1184.0,-550.0
Arsenal Yards,22,1198.0,894.0,-304.0
Arsenal Yards,23,821.0,668.0,-153.0
Arsenal on the Charles,0,11.0,14.0,3.0
Arsenal on the Charles,1,1.0,1.0,0.0
Arsenal on the Charles,2,2.0,5.0,3.0
Arsenal on the Charles,3,2.0,1.0,-1.0
Arsenal on the Charles,4,9.0,9.0,0.0
Arsenal on the Charles,5,20.0,24.0,4.0
Arsenal on the Charles,6,10.0,97.0,87.0
Arsenal on the Charles,7,49.0,199.0,150.0
Arsenal on the Charles,8,85.0,311.0,226.0
Arsenal on the Charles,9,66.0,121.0,55.0
Arsenal on the Charles,10,92.0,110.0,18.0
Arsenal on the Charles,11,120.0,105.0,-15.0
Arsenal on the Charles,12,191.0,203.0,12.0
Arsenal on the Charles,13,154.0,194.0,40.0
Arsenal on the Charles,14,181.0,128.0,-53.0
Arsenal on the Charles,15,257.0,137.0,-120.0
Arsenal on the Charles,16,288.0,178.0,-110.0
Arsenal on the Charles,17,333.0,197.0,-136.0
Arsenal on the Charles,18,184.0,176.0,-8.0
Arsenal on the Charles,19,173.0,130.0,-43.0
Arsenal on the Charles,20,110.0,96.0,-14.0
Arsenal on the Charles,21,69.0,56.0,-13.0
Arsenal on the Charles,22,72.0,28.0,-44.0
Arsenal on the Charles,23,22.0,18.0,-4.0
Assembly Square T,16,1.0,1.0,0.0
Assembly Square T,17,1.0,2.0,1.0
Au Bon Pain Way at Fid Kennedy Ave,9,1.0,0.0,-1.0
Auburn St. at Mystic River,8,1.0,0.0,-1.0
Auburndale,3,1.0,0.0,-1.0
Auburndale,8,1.0,2.0,1.0
Auburndale,10,1.0,1.0,0.0
Auburndale,11,3.0,1.0,-2.0
Auburndale,12,1.0,1.0,0.0
Auburndale,13,2.0,2.0,0.0
Auburndale,14,1.0,1.0,0.0
Auburndale,15,1.0,3.0,2.0
Auburndale,16,2.0,1.0,-1.0
Auburndale,17,1.0,3.0,2.0
Auburndale,20,2.0,0.0,-2.0
B.U. Central - 725 Comm. Ave.,0,1.0,0.0,-1.0
B.U. Central - 725 Comm. Ave.,1,2.0,0.0,-2.0
B.U. Central - 725 Comm. Ave.,4,5.0,1.0,-4.0
B.U. Central - 725 Comm. Ave.,9,4.0,2.0,-2.0
B.U. Central - 725 Comm. Ave.,10,3.0,3.0,0.0
B.U. Central - 725 Comm. Ave.,11,8.0,1.0,-7.0
B.U. Central - 725 Comm. Ave.,12,1.0,7.0,6.0
B.U. Central - 725 Comm. Ave.,13,2.0,7.0,5.0
B.U. Central - 725 Comm. Ave.,14,10.0,5.0,-5.0
B.U. Central - 725 Comm. Ave.,15,11.0,9.0,-2.0
B.U. Central - 725 Comm. Ave.,16,7.0,5.0,-2.0
B.U. Central - 725 Comm. Ave.,17,14.0,9.0,-5.0
B.U. Central - 725 Comm. Ave.,18,8.0,9.0,1.0
B.U. Central - 725 Comm. Ave.,19,7.0,2.0,-5.0
B.U. Central - 725 Comm. Ave.,20,5.0,5.0,0.0
B.U. Central - 725 Comm. Ave.,21,3.0,6.0,3.0
B.U. Central - 725 Comm. Ave.,22,5.0,1.0,-4.0
B.U. Central - 725 Comm. Ave.,23,3.0,1.0,-2.0
Back Bay T Stop - Dartmouth St at Stuart St,7,6.0,4.0,-2.0
Back Bay T Stop - Dartmouth St at Stuart St,8,3.0,4.0,1.0
Back Bay T Stop - Dartmouth St at Stuart St,9,2.0,0.0,-2.0
Back Bay T Stop - Dartmouth St at Stuart St,11,2.0,0.0,-2.0
Back Bay T Stop - Dartmouth St at Stuart St,12,2.0,0.0,-2.0
Back Bay T Stop - Dartmouth St at Stuart St,13,1.0,3.0,2.0
Back Bay T Stop - Dartmouth St at Stuart St,14,3.0,2.0,-1.0
Back Bay T Stop - Dartmouth St at Stuart St,15,2.0,3.0,1.0
Back Bay T Stop - Dartmouth St at Stuart St,16,3.0,0.0,-3.0
Back Bay T Stop - Dartmouth St at Stuart St,20,2.0,0.0,-2.0
Bacon St at Washington St,2,2.0,3.0,1.0
Bacon St at Washington St,7,3.0,0.0,-3.0
Bacon St at Washington St,9,5.0,5.0,0.0
Bacon St at Washington St,10,1.0,3.0,2.0
Bacon St at Washington St,11,16.0,4.0,-12.0
Bacon St at Washington St,12,13.0,6.0,-7.0
Bacon St at Washington St,13,6.0,16.0,10.0
Bacon St at Washington St,14,12.0,8.0,-4.0
Bacon St at Washington St,15,11.0,9.0,-2.0
Bacon St at Washington St,16,5.0,7.0,2.0
Bacon St at Washington St,17,9.0,10.0,1.0
Bacon St at Washington St,18,17.0,11.0,-6.0
Bacon St at Washington St,19,7.0,15.0,8.0
Bacon St at Washington St,20,1.0,8.0,7.0
Bacon St at Washington St,21,2.0,4.0,2.0
Bacon St at Washington St,22,6.0,5.0,-1.0
Bacon St at Washington St,23,2.0,3.0,1.0
Ball Sq,7,5.0,0.0,-5.0
Ball Sq,8,4.0,0.0,-4.0
Ball Sq,9,4.0,0.0,-4.0
Ball Sq,10,2.0,0.0,-2.0
Ball Sq,13,2.0,1.0,-1.0
Ball Sq,14,2.0,1.0,-1.0
Ball Sq,15,1.0,2.0,1.0
Ball Sq,17,1.0,9.0,8.0
Ball Sq,18,4.0,4.0,0.0
Ball Sq,23,1.0,0.0,-1.0
Bartlett St at John Elliot Sq,16,1.0,0.0,-1.0
Bartlett St at John Elliot Sq,18,1.0,0.0,-1.0
Beacon St at Charles St,6,1.0,0.0,-1.0
Beacon St at Charles St,7,4.0,0.0,-4.0
Beacon St at Charles St,8,1.0,2.0,1.0
Beacon St at Charles St,11,1.0,7.0,6.0
Beacon St at Charles St,12,4.0,4.0,0.0
Beacon St at Charles St,13,4.0,3.0,-1.0
Beacon St at Charles St,14,2.0,2.0,0.0
Beacon St at Charles St,15,3.0,2.0,-1.0
Beacon St at Charles St,16,5.0,0.0,-5.0
Beacon St at Charles St,17,8.0,0.0,-8.0
Beacon St at Charles St,18,5.0,2.0,-3.0
Beacon St at Charles St,19,4.0,3.0,-1.0
Beacon St at Charles St,20,2.0,0.0,-2.0
Beacon St at Charles St,21,3.0,1.0,-2.0
Beacon St at Charles St,23,1.0,2.0,1.0
Beacon St at Massachusetts Ave,1,2.0,0.0,-2.0
Beacon St at Massachusetts Ave,6,1.0,1.0,0.0
Beacon St at Massachusetts Ave,7,1.0,3.0,2.0
Beacon St at Massachusetts Ave,8,1.0,1.0,0.0
Beacon St at Massachusetts Ave,9,1.0,2.0,1.0
Beacon St at Massachusetts Ave,10,5.0,3.0,-2.0
Beacon St at Massachusetts Ave,11,6.0,5.0,-1.0
Beacon St at Massachusetts Ave,12,9.0,10.0,1.0
Beacon St at Massachusetts Ave,13,8.0,11.0,3.0
Beacon St at Massachusetts Ave,14,5.0,12.0,7.0
Beacon St at Massachusetts Ave,15,7.0,14.0,7.0
Beacon St at Massachusetts Ave,16,9.0,10.0,1.0
Beacon St at Massachusetts Ave,17,15.0,13.0,-2.0
Beacon St at Massachusetts Ave,18,4.0,10.0,6.0
Beacon St at Massachusetts Ave,19,3.0,8.0,5.0
Beacon St at Massachusetts Ave,20,8.0,6.0,-2.0
Beacon St at Massachusetts Ave,21,5.0,4.0,-1.0
Beacon St at Massachusetts Ave,22,6.0,4.0,-2.0
Beacon St at Massachusetts Ave,23,4.0,0.0,-4.0
Beacon St at Tappan St,6,1.0,0.0,-1.0
Beacon St at Tappan St,7,1.0,0.0,-1.0
Beacon St at Tappan St,8,1.0,1.0,0.0
Beacon St at Tappan St,10,4.0,1.0,-3.0
Beacon St at Tappan St,11,2.0,1.0,-1.0
Beacon St at Tappan St,12,4.0,4.0,0.0
Beacon St at Tappan St,13,2.0,4.0,2.0
Beacon St at Tappan St,14,4.0,2.0,-2.0
Beacon St at Tappan St,16,1.0,3.0,2.0
Beacon St at Tappan St,18,1.0,4.0,3.0
Beacon St at Tappan St,20,2.0,1.0,-1.0
Beacon St at Tappan St,21,3.0,2.0,-1.0
Beacon St at Washington / Kirkland,7,1.0,0.0,-1.0
Beacon St at Washington / Kirkland,8,2.0,0.0,-2.0
Beacon St at Washington / Kirkland,9,3.0,2.0,-1.0
Beacon St at Washington / Kirkland,10,1.0,2.0,1.0
Beacon St at Washington / Kirkland,11,26.0,1.0,-25.0
Beacon St at Washington / Kirkland,12,5.0,1.0,-4.0
Beacon St at Washington / Kirkland,13,4.0,3.0,-1.0
Beacon St at Washington / Kirkland,14,3.0,5.0,2.0
Beacon St at Washington / Kirkland,15,4.0,3.0,-1.0
Beacon St at Washington / Kirkland,16,3.0,4.0,1.0
Beacon St at Washington / Kirkland,17,4.0,26.0,22.0
Beacon St at Washington / Kirkland,18,3.0,4.0,1.0
Beacon St at Washington / Kirkland,19,2.0,3.0,1.0
Beacon St at Washington / Kirkland,20,1.0,3.0,2.0
Beacon St at Washington / Kirkland,21,2.0,7.0,5.0
Beacon St at Washington / Kirkland,22,1.0,8.0,7.0
Beacon St at Washington / Kirkland,23,1.0,7.0,6.0
Beacon at Walnut,9,1.0,0.0,-1.0
